name	***	mention	text	class
DICTIONARY IN VULGAR TONGUE ***	Dictionary of the Vulgar Tongue	The merit of Captain Grose's Dictionary of the Vulgar Tongue has been long and universally acknowledged.	True
EUGENE ONEGUINE [ONEGIN]***	Eugene Oneguine	A Short Biographical Notice of Alexander Pushkin Eugene Oneguine Canto I:    "The Spleen" Canto II:   The Poet Canto III:  The Country Damsel Canto IV:   Rural Life Canto V:    The Fete Canto VI:   The Duel Canto VII:  Moscow Canto VIII:	True
LAURA MIDDLETON ***	Laura Middleton	The remarks which Emily had made regarding the share Laura Middleton had had in opening up her ideas on the subject of the mysteries in which she had now been fully initiated had not escaped my observation.	True
TRIPS TO THE MOON***	Lucian's True History	BOOK I. Lucian's True History is, as the author himself acknowledges in the Preface to it, a collection of ingenious lies, calculated principally to amuse the reader, not without several allusions, as he informs us, to the works of ancient Poets, Historians, and Philosophers, as well as, most probably, the performances of contemporary writers, whose absurdities are either obliquely glanced at, or openly ridiculed and exposed.	True
MCGUFFEY'S ECLECTIC PRIMER ***	McGuffey's Eclectic Primer	[Illustration: Cat watching moth.] McGuffey's Eclectic Primer Lesson 1 a   and  cat  rat a   e   d   n   r   t	True
HAWTHORNE AND HIS CIRCLE ***	Mosses from an Old Manse	We went down and strayed into Mr. Porter's little book-shop, and he transformed himself into a new and more genial proprietor of a virtuoso's collection, and showed us treasures, some of which his predecessor in Mosses from an Old Manse might not have despised.	True
THE YOUNGER EDDA ***	Snorre's Edda	To sum up, then, we say the Younger, or Prose, or Snorre's Edda has been produced at different times by various hands, and the object of its authors has been to produce a manual for the skalds.	True
MARK TWAIN, A BIOGRAPHY, ***	The Gilded Age	There was another co-worker on The Gilded Age before the book was finally completed.	True
THE HAUNTED BOOKSHOP ***	The Oxford Book of English Verse	"Was this the face that launched a thousand chips?" he murmured, and for an instant wished he had brought The Oxford Book of English Verse instead of O. Henry.	True
THE NEW SOUTH ***	The Souls of Black Folk	On the other hand, W. E. B. Du Bois, in The Souls of Black Folk (1903) and in his other writings, voices the bitterness of one to whom the color line has proved an "intolerable indignity."	True
